a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,150,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.57
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,150,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.08
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c | SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,20.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,16.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.2
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c | SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.01
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.5
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c | SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,20.78
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.24
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.96
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.2
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.2
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c | SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,45,SnO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19
Cs,,,,1,,,,Sn,,1,,I,,,3,,,80,20,TiO2-c,50,PTAA,TPFB,DMF; DMSO,3.4
Cs,,,,1,,,,Sn,,1,,I,,,3,,,80,20,TiO2-c,50,PTAA,TPFB,DMF; DMSO,3.9
Cs,,,,1,,,,Sn,,1,,I,,,3,,,80,20,TiO2-c,50,PTAA,TPFB,DMF; DMSO,4.3
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,nan | 120.0,RCP-BTT,Li-TFSI; TBP,DMF; DMSO,14.21
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,nan | 120.0,PTB7,Li-TFSI; TBP,DMF; DMSO,11.71
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,nan | 120.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20.26
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,nan | 120.0,RCP-BTT,Li-TFSI; TBP,DMF; DMSO,14.82
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,nan | 120.0,PTB7,Li-TFSI; TBP,DMF; DMSO,12.21
Cs, FA, MA,,0.05,0.84,0.11,,Pb,,1,,Br, I,,0.1,2.9,,105,60,PCBM-60 | C60 | BCP,60.0 | 20.0 | 7.0,PTAA,F4-TCNQ,DMF; DMSO,19.08
