a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
(Ada), FA,,,2,2,,,Pb,,3,,I,,,10,,,120.0; 150.0,20.0; 10.0,TiO2-c | TiO2-mp,nan | 195.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.8
(AVA) | MA,,,,2 | 1,,,,Pb | Pb,,1 | 1,,I | I,,,4 | 3,,,100,45,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,16.4
(BdA),,,,1,,,,Pb,,1,,I,,,4,,,90,10,TiO2-c | TiO2-mp,100.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF,1.08
(BEA), MA,,,0.5,3,,,Pb,,3,,I,,,10,,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.86
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BzDA), Cs, FA, MA,1,0.45,7.2,1.35,Pb,,10,,Br, I,,2.17,28.83,,100,35,TiO2-c | TiO2-mp,20.0 | 100.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF; DMSO,13
(CHMA), MA,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.02
(CHMA), MA,,,2,1,,,Pb,,2,,I,,,7,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.02
(CHMA), MA,,,2,2,,,Pb,,3,,I,,,10,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.09
(CHMA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,3.78
(CHMA), MA,,,2,4,,,Pb,,5,,I,,,16,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,5.55
(CIEA), MA,,,0.01,0.99,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.73
(CIEA), MA,,,0.03,0.97,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,18.28
(CIEA), MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.45
(CIEA), MA,,,0.1,0.9,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,16.12
(CPEA), MA,,,2,2,,,Pb,,3,,I,,,10,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,4.11
(CPEA), MA,,,2,3,,,Pb,,4,,I,,,13,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,6.3
(CPEA), MA,,,2,4,,,Pb,,5,,I,,,16,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,10.29
(CPEA), MA,,,2,5,,,Pb,,6,,I,,,19,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,9.12
(DMA),,,,2,,,,Pb,,1,,I,,,4,,,100,10,TiO2-c | TiO2-mp,50.0 | 156.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,0.02
(DMA), MA,,,0.025,0.975,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,45.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.5
(DMA), MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,45.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,18.6
(DMA), MA,,,0.075,0.925,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,45.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.1
(DMA), MA,,,0.1,0.9,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,45.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,15.6
(DPA), MA, PA, PA,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.13
(DPA), MA, PA, PA,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,4.3
(EDA), FA, MA,,0.015,0.29,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.5
(EDA), FA, MA,,0.005,0.3,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.19
(EDA), FA, MA,,0.005,0.3,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.25
(EDA), FA, MA,,0.01,0.29,0.7,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.28
(EDA), FA, MA,,0.01,0.29,0.7,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.44
(EDA), FA, MA,,0.015,0.29,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.34
(EDA), FA, MA,,0.015,0.29,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.73
(EDA), FA, MA,,0.02,0.29,0.69,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.82
(EDA), FA, MA,,0.02,0.29,0.69,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.64
(EDA), FA, MA,,0.04,0.29,0.67,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.91
(EDA), FA, MA,,0.04,0.28,0.68,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.3
(EDA), FA, MA,,0.015,0.29,0.695,,Pb,,1,,I,,,3,,,100,10,SnO2-np,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.94
(F5PEA),,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.44
(f-PEA),,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,1.9
(HdA),,,,1,,,,Pb,,1,,I,,,4,,,90,10,TiO2-c | TiO2-mp,100.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.59
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.24
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.83
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.29
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.439
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.81
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.8
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.83
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.73
(ImEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.82
(iPA),,,,3,,,,Pb,,1,,I,,,5,,,100,10,TiO2-c | TiO2-mp,50.0 | 156.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,0.08
(iPA),,,,3,,,,Pb,,1,,I,,,5,,,100,10,TiO2-c | TiO2-mp,50.0 | 156.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,0.11
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,5.38
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,8.77
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.49
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.15
(NH4), FA, MA,,1.7,0.15,1.7,,Pb,,2.7,,Br, I,,0.45,8.5,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,8.67
(NH4), FA, MA,,3.4,0.15,1.7,,Pb,,4.4,,Br, I,,0.45,13.6,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,12.02
(NH4), FA, MA,,5.1,0.15,1.7,,Pb,,6.1,,Br, I,,0.45,18.7,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,15.15
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.93
(NH4), FA, MA,,8.5,0.15,1.7,,Pb,,9.5,,Br, I,,0.45,28.9,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.86
(NH4), FA, MA,,10.2,0.15,1.7,,Pb,,11.2,,Br, I,,0.45,34,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.32
(NH4), FA, MA,,11.9,0.15,1.7,,Pb,,12.9,,Br, I,,0.45,39.1,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.01
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.3
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.53
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,15.06
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.87
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.93
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.17
(NH4), FA, MA,,6.8,0.15,1.7,,Pb,,7.8,,Br, I,,0.45,23.8,,100,50,TiO2-c | TiO2-mp,70.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.34
(NMA), MA,,,2,39,,,Pb,,40,,I,,,121,,,100,50,TiO2-c | TiO2-mp,40.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,16.1
(NMA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,50,TiO2-c | TiO2-mp,40.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,16.9
(NMA), MA,,,2,39,,,Pb,,40,,I,,,121,,,100,50,TiO2-c | TiO2-mp,40.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14.2
(NMA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,50,TiO2-c | TiO2-mp,40.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,15
(OdA),,,,1,,,,Pb,,1,,I,,,4,,,90,10,TiO2-c | TiO2-mp,100.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.01
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,1.85
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,3.3
(PDMA), FA,,,1,2,,,Pb,,23,,I,,,7,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2.91
(PDMA), FA,,,1,3,,,Pb,,4,,I,,,13,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.52
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.6
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.03
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.13
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.81
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.59
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 130,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,4.19
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 170,1.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,4.03
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 60.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2.04
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.71
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,3.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2.6
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,0.5; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.49
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.11
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2.55
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.56
(PDMA),,,,1,,,,Pb,,1,,I,,,4,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,0.91
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.46
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,6.1
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.16
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.11
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.96
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.84
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.23
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 9.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,4.03
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 10.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,4.64
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,200; 150,1.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,4.03
(PDMA), FA,,,1,2,,,Pb,,3,,I,,,10,,,170; 150,1.0; 20.0,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5
(PEA), MA,,,0.8,0.5,,,Pb,,1,,I,,,3.2,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.8
(PEA), MA,,,0.8,0.5,,,Pb,,1,,I,,,3.2,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.2
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,1.34
(PEA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.4
(PEA), MA,,,2,39,,,Pb,,40,,I,,,121,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.24
(PEA), MA,,,2,29,,,Pb,,30,,I,,,91,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.34
(PEA), MA,,,2,19,,,Pb,,20,,I,,,61,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.79
(PEA), MA,,,2,9,,,Pb,,10,,I,,,31,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.89
(PEA), MA,,,2,5,,,Pb,,6,,I,,,19,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,9.22
(PEA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.36
(PEA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.4
(PEA), MA,,,2,39,,,Pb,,40,,I,,,121,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.24
(PEA), MA,,,2,9,,,Pb,,10,,I,,,31,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.89
(PEA), MA,,,2,59,,,Pb,,60,,I,,,181,,,100,60,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.4
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.02
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.076
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.044
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.021
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.076
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.053
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.059
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.071
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.073
(PEA), Cs,,,2,9,,,Pb,,10,,I,,,34,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,8.9
(PEA), Cs,,,2,39,,,Pb,,40,,I,,,121,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.3
(PEA), Cs,,,2,59,,,Pb,,60,,I,,,181,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,12.2
(PEA), Cs,,,2,79,,,Pb,,80,,I,,,241,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.6
(PEA), Cs,,,2,99,,,Pb,,100,,I,,,301,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,10.9
